Production Line,Model,SEW/ASSY,Project_Key,19/01/2026,26/01/2026,02/02/2026,09/02/2026,16/02/2026,23/02/2026,02/03/2026,09/03/2026,16/03/2026,23/03/2026,30/03/2026,06/04/2026,13/04/2026,20/04/2026,27/04/2026,04/05/2026,11/05/2026,18/05/2026,25/05/2026,01/06/2026,08/06/2026,15/06/2026,22/06/2026,29/06/2026,06/07/2026,13/07/2026,20/07/2026,27/07/2026,03/08/2026,10/08/2026,17/08/2026,24/08/2026,31/08/2026,07/09/2026,14/09/2026,21/09/2026,28/09/2026,05/10/2026,12/10/2026,19/10/2026,26/10/2026,02/11/2026,09/11/2026,16/11/2026,23/11/2026,30/11/2026,07/12/2026,14/12/2026,21/12/2026
DAIMLER,BR223,SEW,DAIMLER_BR223_SEW,2465,2583,1910,2191,1479,3443,3952,4461,4578,4696,4813,3944,4273,5478,4492,5752,5889,6026,6163,6300,6437,6574,6574,6574,6574,6574,0,0,7889,7889,7889,6574,6574,6574,6574,6574,6574,6711,19174,19557,19941,16873,16873,16873,16873,16873,16873,16873,16873
DAIMLER,BR223 LTH,SEW,DAIMLER_BR223 LTH_SEW,833,454,492,265,341,303,644,682,757,757,1136,909,909,1136,909,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,0,0,757,379,757,379,757,379,757,379,757,454,1363,454,1363,454,1363,454,1363,454,1363,454,1363
FIAT,J516 / VINYL,SEW,FIAT_J516 / VINYL_SEW,4872,5414,5414,5414,3248,5414,5414,5414,4737,4737,4737,3248,3248,4060,3248,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,0,0,3722,3722,3722,3722,3722,3722,3722,3722,4060,7444,35729,35729,35729,35729,35729,35729,35729,35729,558,558,558
FIAT,J516 / FABRIC,SEW,FIAT_J516 / FABRIC_SEW,652,1087,1087,2174,1304,2174,2174,2174,2174,2174,2174,1739,1739,2174,1739,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,0,0,2174,2174,2174,2174,2174,2174,2174,2174,2174,1196,717,717,717,717,717,717,783,783,783,783,783
PORSCHE,PO426 ARM,SEW,PORSCHE_PO426 ARM_SEW,680,340,680,680,408,680,680,340,680,340,680,544,544,680,544,680,680,680,680,680,680,680,680,680,680,680,0,0,680,680,680,680,680,680,680,680,680,1020,612,612,612,612,612,612,612,612,612,612,612
PORSCHE,PO426 Gueset,SEW,PORSCHE_PO426 Gueset_SEW,884,2209,2209,1105,663,1105,1105,1105,1105,1105,1105,1768,1768,1105,1768,1105,2209,1105,2209,1105,2209,1105,2209,1105,2209,1105,0,0,1105,2209,1105,2209,1105,2209,1105,2209,2209,1326,265,265,265,265,265,265,265,265,265,265,265
PORSCHE,PO426 FHR&ROHR,SEW,PORSCHE_PO426 FHR&ROHR_SEW,914,964,1117,1489,893,1489,1489,1117,1015,1015,1015,812,812,1015,812,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,0,0,1015,1015,1015,1015,1015,1015,1015,1015,1015,812,325,325,731,731,731,731,731,731,731,731,731
Volvo PIP,EX30 PIP Outer,SEW,Volvo PIP_EX30 PIP Outer_SEW,2413,2547,3277,3604,1966,3277,3277,3277,3277,3277,3277,2621,2621,3277,2621,3277,3277,3277,3277,3277,3128,2979,2979,2979,2979,2979,0,0,2979,2979,2979,2979,2979,2979,2979,2979,2979,2621,4051,5242,5242,1072,1072,1072,1072,1072,1072,1072,1072
Volvo PIP,EX30 PIP Center,SEW,Volvo PIP_EX30 PIP Center_SEW,633,1001,1650,1650,825,1031,1031,1031,1031,1375,1375,1100,1100,1375,1100,1375,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,0,0,1031,1031,1031,1031,1031,1031,1031,1031,1031,0,0,0,0,0,0,0,0,0,0,0,0
Nissan,P13A PIP,SEW,Nissan_P13A PIP_SEW,0,977,1221,3541,2417,4517,5006,5494,5983,6471,6959,5958,6349,4151,3516,4640,4884,5128,5372,5616,5860,6105,6105,6105,6105,6105,0,0,6105,6105,6105,6105,6105,6105,6105,6105,6105,6105,0,0,0,0,0,0,0,0,0,0,0
