Project	Prod Line	Day 1	Day 2	Day 3	Day 4	Day 5	Day 6	Day 7	Day 8	Day 9	Day 10	Day 11	Day 12	Day 13	Day 14	Day 15	Day 16	Day 17	Day 18	Day 19	Day 20	Day 21	Day 22	Day 23	Day 24	Day 25	Day 26	Day 27	Day 28	Day 29	Day 30
BJA	H_FG	0.00	0.00	400.00	800.00	600.00	800.00	800.00	0.00	0.00	0.00	0.00	660.00	1220.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BR223 - SEW	B_FG	0.00	0.00	444.00	616.00	747.00	488.00	296.00	0.00	0.00	0.00	0.00	496.00	496.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDPO - ASSY	C_FG	0.00	0.00	1098.00	1458.00	1350.00	1026.00	1290.00	0.00	0.00	0.00	0.00	918.00	810.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDPO - SEW	Z_FG	0.00	0.00	908.00	1090.00	964.00	970.00	1120.00	0.00	0.00	0.00	0.00	1080.00	600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FIAT - SEW	F_FG	0.00	0.00	1731.00	1545.00	2010.00	1794.00	1701.00	0.00	0.00	0.00	0.00	1740.00	1011.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JLR - ASSY	L_FG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	64.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JLR - SEW	J_FG	0.00	0.00	0.00	88.00	88.00	118.00	110.00	0.00	0.00	0.00	0.00	162.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KIA - ASSY	K_FG	0.00	0.00	0.00	156.00	156.00	222.00	234.00	0.00	0.00	0.00	0.00	234.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KIA - SEW	Q_FG	0.00	0.00	548.00	402.00	358.00	332.00	388.00	0.00	0.00	0.00	0.00	240.00	210.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MAN	U_FG	0.00	0.00	1374.00	1344.00	1362.00	1312.00	1446.00	0.00	0.00	0.00	0.00	1422.00	858.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
