Label,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
BJA,0.00,1010.00,1009.00,1009.00,1009.00,1009.00,0.00,0.00,1364.00,1364.00,1364.00,1363.00,1363.00,0.00,0.00,819.00,818.00,818.00,818.00,818.00,0.00,0.00,328.00,327.00,327.00,327.00,327.00,0.00
CDPO,0.00,1654.00,1654.00,1653.00,1653.00,1653.00,0.00,0.00,2343.00,2343.00,2343.00,2343.00,2343.00,0.00,0.00,1451.00,1451.00,1451.00,1451.00,1451.00,0.00,0.00,2312.00,2312.00,2311.00,2311.00,2311.00,0.00
CV,0.00,857.00,856.00,856.00,856.00,856.00,0.00,0.00,1076.00,1075.00,1075.00,1075.00,1075.00,0.00,0.00,649.00,648.00,648.00,648.00,648.00,0.00,0.00,1083.00,1083.00,1083.00,1082.00,1082.00,0.00
JLR,0.00,161.00,161.00,160.00,160.00,160.00,0.00,0.00,201.00,201.00,201.00,200.00,200.00,0.00,0.00,121.00,121.00,120.00,120.00,120.00,0.00,0.00,201.00,201.00,201.00,200.00,200.00,0.00
KIA,0.00,212.00,212.00,211.00,211.00,211.00,0.00,0.00,265.00,265.00,264.00,264.00,264.00,0.00,0.00,159.00,159.00,159.00,159.00,158.00,0.00,0.00,257.00,257.00,257.00,256.00,256.00,0.00
LUCENEC,0.00,2499.00,2499.00,2499.00,2499.00,2498.00,0.00,0.00,2572.00,2572.00,2572.00,2572.00,2572.00,0.00,0.00,1622.00,1622.00,1621.00,1621.00,1621.00,0.00,0.00,2996.00,2996.00,2996.00,2995.00,2995.00,0.00
MMA,0.00,9577.00,9577.00,9577.00,9577.00,9577.00,0.00,0.00,12575.00,12575.00,12575.00,12575.00,12574.00,0.00,0.00,7604.00,7603.00,7603.00,7603.00,7603.00,0.00,0.00,12913.00,12913.00,12912.00,12912.00,12912.00,0.00
NISSAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,489.00,489.00,488.00,488.00,488.00,0.00,0.00,367.00,366.00,366.00,366.00,366.00,0.00,0.00,709.00,708.00,708.00,708.00,708.00,0.00
OPEL,0.00,544.00,544.00,544.00,544.00,544.00,0.00,0.00,681.00,680.00,680.00,680.00,680.00,0.00,0.00,405.00,405.00,405.00,405.00,404.00,0.00,0.00,675.00,675.00,675.00,675.00,675.00,0.00
VOLVO,0.00,4718.00,4718.00,4718.00,4718.00,4717.00,0.00,0.00,6144.00,6144.00,6144.00,6144.00,6144.00,0.00,0.00,3899.00,3899.00,3899.00,3898.00,3898.00,0.00,0.00,6415.00,6415.00,6414.00,6414.00,6414.00,0.00

