Label,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23
BJA,5261.00,5591.00,6818.00,4091.00,1636.00
CDPO,11356.00,10332.00,11277.00,7579.00,12125.00
CV,6446.00,5351.00,5376.00,3192.00,5331.00
JLR,901.00,901.00,1003.00,602.00,1003.00
KIA,1798.00,1322.00,1322.00,794.00,1283.00
LUCENEC,13051.00,12909.00,13318.00,8336.00,14608.00
MMA,53619.00,60835.00,62874.00,39432.00,69396.00
NISSAN,977.00,1221.00,3541.00,2417.00,4517.00
OPEL,3375.00,3401.00,3401.00,2024.00,3375.00
VOLVO,27451.00,26356.00,30752.00,19010.00,30746.00

