Dashboard page,Dashboard page name,Rows
1,PROJECT,LUCENEC
1,PROJECT,VOLVO
1,PROJECT,NISSAN
1,PROJECT,CDPO
1,PROJECT,CV
1,PROJECT,BJA
1,PROJECT,KIA
1,PROJECT,JLR
1,PROJECT,MMA
1,PROJECT,OPEL
2,SEW,BR223
2,SEW,FIAT
2,SEW,PO426
2,SEW,P13A
2,SEW,CDPO - SEW
2,SEW,PZ1D
2,SEW,MAN
2,SEW,SCANIA
2,SEW,RENAULT
2,SEW,BJA
2,SEW,KIA - SEW
2,SEW,JLR - SEW
2,SEW,MMA - SEW
2,SEW,Opel - SEW
2,SEW,Volvo - SEW
3,ASSY,Volvo - ASSY
3,ASSY,KIA - ASSY
3,ASSY,CDPO - ASSY
3,ASSY,JLR - ASSY
3,ASSY,MMA - ASSY
3,ASSY,Opel - ASSY
