PROJECT,SEW,ASSY,Production Line,Model,SEW/ASSY,Project_Key,Prod Line,LTP multiplier,Flag Change
LUCENEC,BR223,,DAIMLER,BR223,SEW,DAIMLER_BR223_SEW,B_FG,,
LUCENEC,BR223,,DAIMLER,BR223 LTH,SEW,DAIMLER_BR223 LTH_SEW,B_FG,,
LUCENEC,FIAT,,FIAT,J516 / VINYL,SEW,FIAT_J516 / VINYL_SEW,F_FG,,
LUCENEC,FIAT,,FIAT,J516 / FABRIC,SEW,FIAT_J516 / FABRIC_SEW,F_FG,,
LUCENEC,PO426,,PORSCHE,PO426 ARM,SEW,PORSCHE_PO426 ARM_SEW,P_FG,,
LUCENEC,PO426,,PORSCHE,PO426 Gueset,SEW,PORSCHE_PO426 Gueset_SEW,P_FG,,
LUCENEC,PO426,,PORSCHE,PO426 FHR&ROHR,SEW,PORSCHE_PO426 FHR&ROHR_SEW,P_FG,,
VOLVO,,Volvo - ASSY,Volvo PIP,EX30 PIP Outer,SEW,Volvo PIP_EX30 PIP Outer_SEW,V_FG,,
VOLVO,,Volvo - ASSY,Volvo PIP,EX30 PIP Center,SEW,Volvo PIP_EX30 PIP Center_SEW,V_FG,,
PIP,PIP,,Nissan,P13A PIP,SEW,Nissan_P13A PIP_SEW,T_FG,,Change
PIP,PIP,,Citroen,C4 PIP,SEW,Citroen_C4 PIP_SEW,T_FG,,Change
PZ1D,PZ1D,,Nissan,PZ1D,SEW,Nissan_PZ1D_SEW,G_FG,7,Change
CV,MAN,,CV,MAN,SEW,CV_MAN_SEW,U_FG,2,Change
CV,SCANIA,,CV,Scania,SEW,CV_Scania_SEW,E_FG,2,Change
CV,SCANIA,,CV,Scania FL,SEW,CV_Scania FL_SEW,E_FG,2,Change
CV,RENAULT,,CV,Renault,SEW,CV_Renault_SEW,R_FG,2,Change
BJA,BJA,,Renault,BJA,SEW,Renault_BJA_SEW,H_FG,,
BJA,BJA,,SBP Press,BJA,SEW,SBP Press_BJA_SEW,H_FG,,
KIA,,KIA - ASSY,KIA,CD/CTE,ASSY,KIA_CD/CTE_ASSY,K_FG,,
KIA,KIA - SEW,,KIA,CD/CTE,SEW,KIA_CD/CTE_SEW,Q_FG,,
KIA,,KIA - ASSY,KIA,SZ1E,ASSY,KIA_SZ1E_ASSY,K_FG,,
KIA,KIA - SEW,,KIA,SZ1E,SEW,KIA_SZ1E_SEW,Q_FG,,
CDPO,,CDPO - ASSY,CDPO,P64/CR3/OV64,ASSY,CDPO_P64/CR3/OV64_ASSY,C_FG,,
CDPO,CDPO - SEW,,CDPO,P64/CR3/OV64,SEW,CDPO_P64/CR3/OV64_SEW,Z_FG,,
CDPO,,CDPO - ASSY,CDPO,P74,ASSY,CDPO_P74_ASSY,C_FG,,
CDPO,CDPO - SEW,,CDPO,P74,SEW,CDPO_P74_SEW,Z_FG,,
JLR,,JLR - ASSY,JLR,L551,ASSY,JLR_L551_ASSY,L_FG,,
JLR,JLR - SEW,,JLR,L551,SEW,JLR_L551_SEW,J_FG,,
MMA,,MMA - ASSY,MMA,ARM,ASSY,MMA_ARM_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,ARM,SEW,MMA_ARM_SEW,N_FG,,
MMA,,MMA - ASSY,MMA,2WAY,ASSY,MMA_2WAY_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,2WAY,SEW,MMA_2WAY_SEW,N_FG,,
MMA,,MMA - ASSY,MMA,CARRIER,ASSY,MMA_CARRIER_ASSY,M_FG,,
MMA,,MMA - ASSY,MMA,4WAY,ASSY,MMA_4WAY_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,4WAY,SEW,MMA_4WAY_SEW,N_FG,,
MMA,,MMA - ASSY,MMA,ROHR,ASSY,MMA_ROHR_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,ROHR,SEW,MMA_ROHR_SEW,N_FG,,
MMA,,MMA - ASSY,MMA,RCHR,ASSY,MMA_RCHR_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,RCHR,SEW,MMA_RCHR_SEW,N_FG,,
MMA,,MMA - ASSY,MMA,3RD ROW,ASSY,MMA_3RD ROW_ASSY,M_FG,,
MMA,MMA - SEW,,MMA,3RD ROW,SEW,MMA_3RD ROW_SEW,N_FG,,
OPEL,,Opel - ASSY,Opel,ARM,ASSY,Opel_ARM_ASSY,O_FG,,
OPEL,,Opel - ASSY,Opel,FHR,ASSY,Opel_FHR_ASSY,V_FG,,
OPEL,Opel - SEW,,Opel,FHR&ARM,SEW,Opel_FHR&ARM_SEW,S_FG,,
VOLVO,,Volvo - ASSY,Volvo,ROHR,ASSY,Volvo_ROHR_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo,ROHR Insourcing,SEW,Volvo_ROHR Insourcing_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo,LOW SPEC,ASSY,Volvo_LOW SPEC_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo,LOW SPEC,SEW,Volvo_LOW SPEC_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo,ROHR - NEW,ASSY,Volvo_ROHR - NEW_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo,ROHR - NEW,SEW,Volvo_ROHR - NEW_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo EX30,FHR,ASSY,Volvo EX30_FHR_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo EX30,FHR,SEW,Volvo EX30_FHR_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo GPA,FHR,ASSY,Volvo GPA_FHR_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo GPA,FHR,SEW,Volvo GPA_FHR_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo GPA,ARM,ASSY,Volvo GPA_ARM_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo GPA,ARM,SEW,Volvo GPA_ARM_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo GPA,ROHR,ASSY,Volvo GPA_ROHR_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo GPA,ROHR,SEW,Volvo GPA_ROHR_SEW,A_FG,,
VOLVO,,Volvo - ASSY,Volvo GPA,SB,ASSY,Volvo GPA_SB_ASSY,V_FG,,
VOLVO,Volvo - SEW,,Volvo GPA,SB,SEW,Volvo GPA_SB_SEW,A_FG,,
JLR,,JLR - ASSY,JLR,EMA,ASSY,JLR_EMA_ASSY,L_FG,,
JLR,JLR - SEW,,JLR,EMA,SEW,JLR_EMA_SEW,J_FG,,
